filename;code_placette;gradient;timestamp;date;heure;hour;periode;mois;Annot;Quality;chunk;Avion;Rain;Silence;Gust;Wind;Bells;Car;Helico;Workers;Traffic;Voices;Taps;Overshoot;Saturated;Water;Moto;???;Tracteur;Honk;Music;Autre;Chainsaw;SUV;Truck;Shots;Mechanical grip;Engine;trueEngine
ARM1_20220505_090000_000.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_001.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_002.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_003.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_004.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_005.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_006.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_007.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_008.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_009.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_010.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_011.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_012.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_013.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_014.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_015.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_016.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_017.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_018.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220505_090000_019.wav;ARM1;ARM;05/05/2022 09:00;05/05/2022;09:00:00;9;matin;mai;1;;20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_000.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_001.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_002.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_003.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_004.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_005.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_006.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_007.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_008.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_009.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_010.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_011.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_012.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_013.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_014.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_015.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_016.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_017.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_018.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARM1_20220507_104500_019.wav;ARM1;ARM;07/05/2022 10:45;07/05/2022;10:45:00;10;matin;mai;2;;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
